,stage,dow,birth,giv,gen,dob,dod,type,orig,pict,notes
0,Willie Aames,,Aames,William,M,1960,199x,RU:,\Am,,
1,Bud Abbott,1939-1956,Abbott,William,M,1895,1974,R:straight,comedian,\Am,
2,Diahnne Abbott,1976-1982,,,F,[1][23],199x,R:sexy,\Am,,Cit(2) Mt(Robert deNiro;)
3,George Abbott,1928-1958,Abbott,George,M,1887,199x,"R:playwright, producer",\Am,,
4,John Abbott,1937-1975,Abbott,John,M,1905,199x,"R:staring eyes, eccentric parts",\Br,,
5,Philip Abbott,1957-1973,Abbott,Philip,M,1923,199x,R:second lead,\Am,,
6,Kareem AbdulJabbar,,,,M,[1],199x,R:basketball player,\Am,,
7,Walter Abel,1935-1974,Abel,Walter,M,1898,1987,R:harrassed hero,\Am,,
8,F.Murray Abraham,1983,,,M,[1][23],199x,RU:,\Un,,Cit(1)
9,James Abrahams,,,,M,[1][23],199x,RU:,\Un,,Cit(1)
10,Maury Abram,,,,,[1][23],199x,RU:,\Un,,Er(name) Cit(1)
11,Victoria Abril,1985-1990,,,F,[1][23],199x,R:sexy,\Portugse,,Cit(2)
12,Joss Ackland,1949-1979,Ackland,Joss,M,1928,199x,R:larger-than-life personality,\Br,,
13,Dan Ackroyd,1979-1990,Ackroyd,Dan,M,[23],199x,R:comic,\Am,,
14,David Ackroyd,,,,M,1940,199x,RU:,\Am,,Cit(0)
15,Peter Ackroyd,,,,M,[1],199x,RU:,\Un,,Cit(0)
16,Rodolfo Acosta,1948-1967,Acosta,Rodolfo,M,1920,1974,R:cold-eyed,\Am-Me,,
17,Eddie Acuff,1935-1947,Acuff,Eddie,M,1902,1956,R:supporting comedian,\Am,,
18,Jean Adair,1922-1947,Adair,Jean,F,1872,1956,R:sweet aunt,\Am,,
19,Alfred Adam,1935-1961,Adam,Alfred,M,1909,1982,"R:weak, villainous",\Fr,,
20,Ronald Adam,1938-1971,Adam,Ronald,M,1896,1979,"R:well-bred, stuffy professional",\Br,,
21,John Adames,,,,M,[1][23],199x,RU:,\Un,,Cit(1)
22,Beverly Adams,1963-1967,Adams,Beverly,F,1945,199x,R:lead,\Ca,,
23,Brooke Adams,1977-1983,Adams,Brooke,F,1949,199x,R:laid-back,\Am,,
24,Catlin Adams,,Barab,Catlin,,1950,199x,RU:,\Am,,
25,Dorothy Adams,1938-1976,Adams,Dorothy,F,1915,199x,R:timorous sullen,\Am,,
26,Edie Adams,1960-1979,Enke,Elizabeth Edith,F,1929,199x,R:pert comedienne,\Am,,Mt(Ernie Kovacs)
27,Jane Adams,1945-1949,Adams,Jane,F,1921,199x,RU:,\Am,,
28,Jill Adams,1954-1966,Adams,Julia,F,1931,199x,R:pert light lead,\Br,,
29,Julie Adams,1947-1981,Adams,\S{Betty May (Julia),F,1926,199x,R:soft,\Am,,
30,Maud Adams,1952-1967,Wikstrom,Maude,F,1950,199x,R:lead,\Sw-\Am,,
31,Nick Adams,1952-1967,Adamschock,Nicholas,M,1931,1968,R:neurotic aggressive lead,\Am,,
32,Robert Adams,1935-1947,Adams,Robert,M,1906,199x,R:black,\WI,,
33,Sam Adams,,,,M,[1][23],199x,R:comic,,,|
34,Tome Adams,1963-1975,Adams,Tome,M,1938,199x,R:burly,\Br,,
35,Dawn Addams,1951-1977,Addams,Dawn,F,1930,1985,"R:smart, glamorous",\Br,,
36,Wesley Addy,1951-1982,Addy,Wesley,M,1912,1997,"R:humourless, sinister",\Am,,Mt(Celeste Holm)
37,Isabelle Adjani,1971-1983,Adjani,Isabelle,F,1955,199x,R:lead,\Fr-\Ge,,"Lw(Nuytten, Warren Beatty, Daniel DayLewis)"
38,Jay Adler,1938-1965,Adler,Jay,M,1899,1978,R:character,\Am,,Si(Luther Adler)
39,Luther Adler,1937-1981,Adler,Lutha,M,1903,1984,R:heavy,\Am,,"Si(Jay,Stella)"
