,movie,actor,type,role
0,T:Pygmalion,Leslie Howard,\Sci,"R:smug professor ""Higgins"""
1,T:Pygmalion,Wendy Hiller,\Inn,"R:flower girl ""Eliza"""
2,T:Pygmalion,Wilfrid Lawson,\Und,"R:friend ""Dolittle"""
3,T:Pygmalion,Scott Sunderland,\Und,"R:betting Colonel ""Pickering"""
4,T:Pygmalion,Marie Lohr,\Und,"R:wife ""Mrs.Higgins"""
5,T:Pygmalion,David Tree,\Und,RU:
6,T:Pygmalion,Esme Percy,\Und,RU:
7,T:Pygmalion,Everley Gregg,\Und,RU:
8,T:Pygmalion,Jean Cadell,\Und,RU:
9,T:French Without Tears,Ray Milland,\Und,RZ:schoolboy
10,T:French Without Tears,Ellen Drew,\Und,R:teacher
11,T:French Without Tears,Guy Middleton,\Und,R:schoolboy
12,T:French Without Tears,Ronald Culver,\Und,RS:schoolboy
13,T:Quiet Wedding,Margaret Lockwood,\Und,R:bride
14,T:Quiet Wedding,Derek Farr,\Und,R:bridegroom
15,T:Quiet Wedding,A.E. Matthews,\Und,RU:
16,T:Quiet Wedding,Marjorie Fielding,\Und,R:mother
17,T:Quiet Wedding,Athene Seyler,\Und,RU:
18,T:Quiet Wedding,Peggy Ashcroft,\Und,RU:
19,T:Quiet Wedding,Margaretta Scott,\Und,RU:
20,T:Quiet Wedding,Bernard Miles,\Und,RU:
21,T:The Importance of Being Earnest,Michael Redgrave,\Und,R:bachelor
22,T:The Importance of Being Earnest,Michael Denison,\Und,R:bachelor
23,T:The Importance of Being Earnest,Edith Evans,\Und,R:rich daughter
24,T:The Importance of Being Earnest,Margaret Rurtherford,\Und,RU:
25,T:The Importance of Being Earnest,Jaen Greenwood,\Und,RU:
26,T:The Importance of Being Earnest,Miles Malleson,\Und,RU:
27,T:The Importance of Being Earnest,Doroty Tutin,\Und,RU:
28,T:The Importance of Being Earnest,Walter Hudd,\Und,RU:
29,T:Libel,Dirk Bogarde,\Und,RU:
30,T:Libel,Olivia deHavilland,\Und,RU:
31,T:Libel,Paul Massie,\Und,RU:
32,T:Libel,Wilfrid Hyde White,\Und,RU:
33,T:Libel,Robert Morley,\Und,RU:
34,T:Libel,Anthony Dawson,\Und,RU:
35,T:Libel,Richard Wattis,\Und,RU:
36,T:Libel,Martin Miller,\Und,RU:
37,T:Libel,Millicent Martin,\Und,RU:
38,T:The Millionairess,Peter Sellers,\Und,R:poor Indian doctor
39,T:The Millionairess,Sophia Loren,\Und,"R:millionairess, falls for doctor"
40,T:The Millionairess,Alastair Sim,\Und,RU:
41,T:The Millionairess,Vittorio deSics,\Und,RU:
42,T:The Millionairess,Dennis Price,\Und,RU:
43,T:The Millionairess,Gary Raymond,\Und,RU:
44,T:The Millionairess,Alfie Bass,\Und,RU:
45,T:The VIPs,Richard Burton,\Und,R:delayed passenger
46,T:The VIPs,Elizabeth Taylor,\Und,R:delayed passenger
47,T:The VIPs,Maggie Smith,\Und,RU:
48,T:The VIPs,Rod Taylor,\Und,RU:
49,T:The VIPs,Margaret Rutherford,\Und,RU:
50,T:The VIPs,Louis Jordon,\Und,RU:
51,T:The VIPs,Elsa Martinelli,\Und,RU:
52,T:The VIPs,Orson Welles,\Und,RU:
53,T:The VIPs,Linda Chistian,\Und,RU:
54,T:The VIPs,Dennis Price,\Und,RU:
55,T:The VIPs,Richard Wattis,\Und,RU:
56,T:The VIPs,David Frost,\Und,RU:
57,T:The VIPs,Robert Coote,\Und,RU:
58,T:The VIPs,Joan Benham,\Und,RU:
59,T:The VIPs,Michael Hodern,\Und,RU:
60,T:The VIPs,Lance Percival,\Und,RU:
61,T:The VIPs,Martin Miller,\Und,RU:
62,T:A Private Function,Michael Palin,\Und,R:podiatrist
63,T:A Private Function,Maggie Smith,\Und,R:ambitious wife
64,T:A Private Function,Denholm Elliott,\Und,RU:
65,T:A Private Function,Richard Griffiths,\Und,RU:
66,T:A Private Function,Tony Haygarth,\Und,RU:
67,T:A Private Function,Liz Smith,\Und,RU:
68,T:A Private Function,John Normington,\Und,RU:
69,T:A Private Function,s a,\Ani,"R:fattened, unlicensed pig"
70,T:The Four Seasons,Alan Alda,\Und,R:husband 1
71,T:The Four Seasons,Carol Burnett,\Und,R:wife 1
72,T:The Four Seasons,Len Cariou,\Und,R:husband 2
73,T:The Four Seasons,Sandy Dennis,\Und,R:wife 2
74,TZ:The Four Seasons,Rita Moreno,\Und,RU:
75,TZ:The Four Seasons,Jack Weston,\Und,R:husband 3
76,TZ:The Four Seasons,Bess Armstrong,\Und,R:wife 3
77,T:Sweet Liberty,Alan Alda,\Her,"R:professor, author"
78,T:Sweet Liberty,Michael Caine,\Vil,R:conceited movie star
79,T:Sweet Liberty,Michelle Pfeiffer,\Sav,R:sympathetic movie star
80,T:Sweet Liberty,Bob Hoskins,\Sav,"R:cynical screenwriter, helpful"
81,T:Sweet Liberty,Lise Hilboldt,\Lov,"R:professor, has fling"
82,T:Sweet Liberty,Lillian Gish,\Und,R:mother
83,T:Sweet Liberty,Saul Rubinek,\Und,R:cold director
84,T:Sweet Liberty,Lois Chiles,\Und,R:actor's suspicious wife
85,T:Betsy's Wedding,Molly Ringwald,\Und,"R:bride ""Betsy"""
86,T:Betsy's Wedding,Alan Alda,\Und,"R:down-on-his-luck contractor, father of the bride"
87,T:Betsy's Wedding,Joey Bishop,\Und,R:grandfather of the bride
88,T:Betsy's Wedding,Madeleine Kahn,\Und,R:once-radical mother of the bride
89,T:Betsy's Wedding,Ally Sheedy,\Und,"R:sister of the bride, intelligent cop ""Connie"""
90,T:Betsy's Wedding,Anthony LaPaglia,\Und,"R:Mafia businessman, loves Connie"
91,T:Betsy's Wedding,Julie Bovassa,\Und,R:grandmother of the bride
92,T:Betsy's Wedding,Joe Pesci,\Und,R:sleazy uncle
93,T:Betsy's Wedding,Catherine OHara,\Und,R:aunt
94,T:Betsy's Wedding,Dylan Walsh,\Und,R:bridegroom
95,T:Betsy's Wedding,Burt Young,\Und,RU:
96,T:Gas Food Lodging,Brooke Adams,\Und,R:single mother
97,T:Gas Food Lodging,Ione Skye,\Und,R:rebellious daughter
98,T:Gas Food Lodging,Faraizu Baik,\Und,"R:younger, dreamy daughter, narrates"
99,T:Gas Food Lodging,Donovan Leitch,\Und,R:cable TV installer
100,T:Mi Vida Loca,Angel Avilea,\Und,RU:
101,T:Mi Vida Loca,Seidy Lopez,\Und,RU:
102,T:Mi Vida Loca,Jacob Vargas,\Und,RU:
103,TZ:Rock 'N Roll High School,P.J. Sales,\Und,R:leader
104,TZ:Rock 'N Roll High School,Vincent VanPatten,\Und,RU:
105,T:Rock 'N Roll High School,Clint Howard,\Und,RU:
106,T:Rock 'N Roll High School,The Ramones,\Und,R:rock band
107,T:Rock 'N Roll High School,Paul Bartel,\Und,RU:
108,T:Rock 'N Roll High School,Alix Elias,\Und,RU:
109,TZ:Heartbeeps,Andy Kaufman,\Und,R:amorous robot
110,TZ:Heartbeeps,Bernadette Peters,\Und,R:amorous robot
111,TZ:Heartbeeps,Randy Quaid,\Und,RU:
112,TZ:Heartbeeps,Melanie Mayron,\Und,RU:
113,T:A Place in the World,Gaston Batyi,\Und,"R:young man, returns home"
114,T:A Place in the World,Jose Sacristan,\Und,RU:
115,T:A Place in the World,Frederico Luppi,\Und,RU:
116,T:A Place in the World,Cecilia Roth,\Und,RZ:first love
117,T:A Place in the World,Leonor Benedetto,\Und,RU:
